title,author(s),retail_price,discounted/sale_price,isbn10,book_type,number_of_pages,input_isbn
Mageborn,Michael G. Manning,9.0,9.0,1311117091,ePUB,,9781311117090
Ghost Fleet,P. W. Singer|August Cole,9.99,9.99,0544145976,ePUB,368.0,9780544145979
The Darling Buds of May,H. E. Bates,15.99,15.99,0141902809,ePUB,144.0,9780141902807
Love Like Blood,Mark Billingham,22.99,20.4,0751566926,Paperback,512.0,9780751566925
The School of Life,Alain de Botton|The School of Life (PRH Rights),16.99,16.99,0241985854,ePUB,240.0,9780241985854
Winning Not Fighting,John Vincent|Sifu Julian Hitch,18.99,18.99,0241318386,ePUB,256.0,9780241318386
Eat to Beat Disease,William W. Li,160.75,160.75,153871549X,Hardcover,688.0,9781538715499
Lovers and Strangers,Clair Wills,15.99,15.99,0141974966,ePUB,240.0,9780141974965
She,H. Rider Haggard,6.99,6.99,0307808025,ePUB,,9780307808028
A Christmas Carol,Charles Dickens,8.55,7.99,0553897055,ePUB,,9780553897050
Mary Barton,Elizabeth Gaskell,10.99,10.99,0141974672,ePUB,512.0,9780141974675
First Class Murder,Robin Stevens,9.99,9.99,0141369833,ePUB,336.0,9780141369839
Five Little Monkeys Trick-or-Treat,Eileen Christelow,4.99,4.99,0547859090,ePUB,,9780547859095
The Blood of Olympus (Heroes of Olympus Book 5),Rick Riordan,12.99,12.99,0141339233,ePUB,608.0,9780141339238
Girl in Luv,Jay Crownover|Rebecca Yarros,4.99,4.99,1393711332,ePUB,,9781393711339
Mustache Baby Meets His Match,Bridget Heos,11.99,11.99,0544539214,ePUB,,9780544539211
Ms. Marvel Vol. 1,G. Willow Wilson,13.19,10.99,1302402226,ePUB,,9781302402228
100+ Knock Knock Jokes for Kids,Johnny B. Laughing,1.57,1.57,1311339604,ePUB,,9781311339607
The Broken Eye,Brent Weeks,12.99,12.99,0748116990,ePUB,816.0,9780748116997
$2.00 A Day,Kathryn J. Edin|H. Luke Shaefer,26.99,26.99,0544303245,ePUB,288.0,9780544303249
Men At Arms,Terry Pratchett,15.99,15.99,1407034901,ePUB,432.0,9781407034904
The Art of War,Sun-tzu,10.99,10.99,014191968X,ePUB,112.0,9780141919683
A New Earth,Eckhart Tolle,4.99,4.99,0141908769,ePUB,336.0,9780141908762
Blood Trade,Faith Hunter,11.72,10.99,1101607629,ePUB,336.0,9781101607626
Unnatural Causes,Dr Richard Shepherd,14.99,14.99,1405923555,ePUB,400.0,9781405923552
Liquidate Paris,Sven Hassel,12.99,12.99,0297865803,ePUB,320.0,9780297865803
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,19.99,18.25,0007461240,Paperback,224.0,9780007461240
The Outback Governess,Sarah Williams,5.99,5.99,0648046273,ePUB,,9780648046271
Charlie and the Chocolate Factory,Roald Dahl,9.99,9.99,0141960612,ePUB,208.0,9780141960616
The Path Of Daggers,Robert Jordan,12.99,12.99,0748115412,ePUB,672.0,9780748115419
The Black Swan,Nassim Nicholas Taleb,15.99,15.99,0141906200,ePUB,480.0,9780141906201
Firewall,Henning Mankell,15.99,15.99,1407017683,ePUB,544.0,9781407017686
Chernobyl Prayer,Svetlana Alexievich,15.99,15.99,0241270545,ePUB,240.0,9780241270547
Sojourn,R.A. Salvatore,16.12,12.99,0786954035,ePUB,352.0,9780786954032
I Am Malala,Malala Yousafzai|Christina Lamb,11.99,11.99,0297870939,ePUB,320.0,9780297870937
Goodnight Mister Tom,Michelle Magorian,9.99,9.99,0141964529,ePUB,448.0,9780141964522
Stig of the Dump,Clive King,9.99,9.99,0141960604,ePUB,256.0,9780141960609
Strange Tales from a Chinese Studio,Pu Songling,14.99,14.99,0141928522,ePUB,608.0,9780141928524
Who Dares Wins,Dominic Sandbrook,19.99,19.99,014197527X,ePUB,480.0,9780141975276
The Diary of a Young Girl,Anne Frank,14.99,14.99,0141971665,ePUB,368.0,9780141971667
Nothing but Trouble,Roberta Kray,12.99,12.99,0748123016,ePUB,480.0,9780748123018
Remember Me,Lesley Pearse,15.99,15.99,0141907851,ePUB,600.0,9780141907857
